district;Apartamento;Casa;Casa em condomínio;Studio e kitnet
Aclimação;39.0;9.0;0.0;2.0
Adalgisa;2.0;2.0;0.0;0.0
Agua Branca;1.0;0.0;0.0;0.0
Alphaville;6.0;5.0;13.0;0.0
Alphaville Centro Industrial E Empresarial/alphaville.;4.0;0.0;0.0;1.0
Alphaville Conde Ii;1.0;0.0;0.0;0.0
Alphaville Empresarial;22.0;0.0;0.0;0.0
Alphaville Industrial;31.0;0.0;0.0;4.0
Alphaville Residencial Dois;0.0;0.0;1.0;0.0
Alphaville Residencial Plus;0.0;1.0;0.0;0.0
Alphaville Residencial Um;0.0;1.0;1.0;0.0
Alto da Boa Vista;3.0;1.0;0.0;0.0
Alto da Lapa;10.0;3.0;0.0;2.0
Alto da Mooca;17.0;17.0;0.0;0.0
Alto de Pinheiros;12.0;8.0;0.0;0.0
Alto do Pari;2.0;0.0;0.0;0.0
Americanópolis;1.0;9.0;1.0;0.0
Anchieta;2.0;2.0;0.0;0.0
Aricanduva;1.0;0.0;0.0;0.0
Artur Alvim;1.0;0.0;0.0;3.0
Ayrosa;0.0;2.0;0.0;0.0
Bandeiras;1.0;1.0;0.0;0.0
Barra Funda;69.0;9.0;0.0;5.0
Barro Branco (zona Norte);1.0;3.0;0.0;0.0
Bela Aliança;1.0;1.0;0.0;0.0
Bela Aliança ;0.0;1.0;0.0;0.0
Bela Vista;228.0;7.0;2.0;113.0
Belenzinho;21.0;4.0;0.0;6.0
Belém;1.0;0.0;0.0;0.0
Bethaville I;2.0;0.0;0.0;0.0
Boa Vista;2.0;1.0;0.0;1.0
Boaçava;0.0;1.0;0.0;0.0
Bolsão do Interlagos;0.0;1.0;0.0;0.0
Bom Retiro;20.0;1.0;0.0;7.0
Bonfim;0.0;3.0;0.0;0.0
Bortolândia;0.0;1.0;0.0;0.0
Bosque da Saúde;14.0;8.0;0.0;0.0
Bosque da Saúde.;1.0;0.0;0.0;0.0
Bras;1.0;0.0;0.0;0.0
Brasilândia;0.0;1.0;0.0;0.0
Brooklin;14.0;6.0;0.0;4.0
Brooklin Novo;2.0;1.0;0.0;0.0
Brooklin Paulista;20.0;16.0;4.0;6.0
Brás;114.0;2.0;1.0;24.0
Brás ;1.0;0.0;0.0;0.0
Burgo Paulista;0.0;2.0;0.0;0.0
Bussocaba;3.0;2.0;0.0;0.0
Butantã;25.0;6.0;0.0;13.0
Cambuci;89.0;9.0;0.0;6.0
Campanário;7.0;1.0;0.0;0.0
Campestre;13.0;3.0;0.0;2.0
Campininha;0.0;2.0;0.0;0.0
Campo Belo;65.0;28.0;0.0;14.0
Campo Grande;1.0;8.0;0.0;0.0
Campos Elíseos;79.0;1.0;0.0;37.0
Cangaiba;4.0;4.0;0.0;0.0
Cangaíba;5.0;0.0;0.0;1.0
Canhema;1.0;4.0;0.0;0.0
Canindé;4.0;0.0;0.0;0.0
Capela do Socorro;1.0;1.0;0.0;0.0
Carandiru;5.0;2.0;0.0;1.0
Casa Branca;1.0;1.0;0.0;0.0
Casa Verde;18.0;13.0;0.0;1.0
Casa Verde Alta;6.0;14.0;1.0;0.0
Casa Verde Média;1.0;2.0;1.0;0.0
Catumbi;3.0;1.0;0.0;1.0
Caxingui;1.0;2.0;0.0;0.0
Centro;114.0;4.0;0.0;59.0
Centro Capital;0.0;0.0;0.0;1.0
Centro Comercial Jubran;2.0;0.0;0.0;0.0
Centro Empresarial Tamboré;3.0;0.0;0.0;0.0
Centro Histórico de São Paulo;41.0;0.0;1.0;30.0
Centro de Apoio I (alphaville);0.0;0.0;0.0;1.0
Cerqueira César;122.0;1.0;2.0;15.0
Chora Menino;7.0;6.0;1.0;0.0
